match_id,team,player,player_id,player_link,Goals,Assists,Tackles_won,Accurate_passes,Duels_won,Ground_duels_won,Aerial_duels_won,Minutes_played,Position,Sofascore_Rating
15184394,home_team,Mathys Silistrie,1513605,https://www.sofascore.com/player/mathys-silistrie/1513605,0,0,,3/3 (100%),,,,90',G,6.9
15184394,home_team,Alidu Seidu,1049515,https://www.sofascore.com/player/alidu-seidu/1049515,0,0,2 (2),67/73 (92%),9 (6),,4 (3),90',D,7.8
15184394,home_team,Anthony Rouault,991479,https://www.sofascore.com/player/anthony-rouault/991479,0,0,1 (1),49/51 (96%),6 (3),1 (0),2 (2),90',D,7.4
15184394,home_team,Lilian Brassier,988907,https://www.sofascore.com/player/lilian-brassier/988907,0,0,1 (0),64/71 (90%),11 (6),,6 (5),89',D,7.4
15184394,home_team,Quentin Merlin,1102502,https://www.sofascore.com/player/quentin-merlin/1102502,1,1,3 (2),54/70 (77%),8 (5),1 (0),1 (0),90',M,9.6
15184394,home_team,Mahdi Camara,916041,https://www.sofascore.com/player/camara-mahdi/916041,0,0,1 (0),56/61 (92%),5 (2),,2 (1),89',M,6.9
15184394,home_team,Valentin Rongier,581314,https://www.sofascore.com/player/valentin-rongier/581314,0,0,6 (2),77/88 (88%),14 (11),,1 (1),90',M,8.6
15184394,home_team,Ludovic Blas,806076,https://www.sofascore.com/player/ludovic-blas/806076,0,0,,44/48 (92%),10 (4),1 (0),1 (1),85',M,6.5
15184394,home_team,Mousa Tamari,876600,https://www.sofascore.com/player/mousa-al-taamari/876600,0,2,,39/42 (93%),10 (5),,,85',M,8.1
15184394,home_team,Esteban Lepaul,966621,https://www.sofascore.com/player/lepaul-esteban/966621,0,0,,5/6 (83%),4 (1),,3 (1),60',F,6.2
15184394,home_team,Breel Embolo,352296,https://www.sofascore.com/player/breel-embolo/352296,2,0,,10/16 (62%),7 (3),,2 (1),90',F,8.6
15184394,home_team,Mohamed Kader Meite,1606642,https://www.sofascore.com/player/mohamed-kader-meite/1606642,0,0,,3/3 (100%),3 (1),,2 (1),30',F,6.3
15184394,home_team,Djaoui Cissé,1445628,https://www.sofascore.com/player/djaoui-cisse/1445628,0,0,,3/3 (100%),1 (0),,,9',M,6.3
15184394,home_team,Elias Legendre Quiñonez,2111258,https://www.sofascore.com/player/elias-legendre-quinonez/2111258,0,0,,1/2 (50%),2 (2),,,9',F,6.7
15184394,home_team,Paolo Limon,1907306,https://www.sofascore.com/player/paolo-limon/1907306,0,0,,1/1 (100%),,,,1',M,
15184394,home_team,Lucas Rosier,2077096,https://www.sofascore.com/player/lucas-rosier/2077096,0,0,,,,,,1',F,
15184394,home_team,Kilian Belazzoug,2334320,https://www.sofascore.com/player/kilian-belazzoug/2334320,0,0,,,,,,,G,
15184394,home_team,Brice Samba,164055,https://www.sofascore.com/player/brice-samba/164055,0,0,,,,,,,G,
15184394,home_team,Glen Kamara,292665,https://www.sofascore.com/player/glen-kamara/292665,0,0,,,,,,,M,
15184394,home_team,Nordan Mukiele,1891021,https://www.sofascore.com/player/nordan-mukiele/1891021,0,0,,,,,,,F,
15184394,away_team,Raphael Adiceam,821737,https://www.sofascore.com/player/raphael-adiceam/821737,0,0,,17/32 (53%),1 (1),,1 (1),90',G,6.9
15184394,away_team,Souleymane Mancal,2418321,https://www.sofascore.com/player/souleymane-mancal/2418321,0,0,1 (1),17/23 (74%),6 (5),,2 (1),90',D,6.5
15184394,away_team,Achille Robin,982803,https://www.sofascore.com/player/achille-robin/982803,0,0,2 (2),30/39 (77%),6 (3),1 (0),2 (1),90',D,7.5
15184394,away_team,Omar Balde,868919,https://www.sofascore.com/player/omar-balde/868919,0,0,,11/16 (69%),6 (3),1 (0),2 (1),90',D,6.2
15184394,away_team,Matthieu Grosso,2418309,https://www.sofascore.com/player/matthieu-grosso/2418309,0,0,5 (4),6/7 (86%),10 (6),1 (0),4 (1),81',M,7.1
15184394,away_team,Mafall Sarr,2418299,https://www.sofascore.com/player/mafall-sarr/2418299,0,0,2 (1),8/17 (47%),7 (2),2 (0),,81',M,6.3
15184394,away_team,Zidan Charlec,1218777,https://www.sofascore.com/player/zidan-charlec/1218777,0,0,,23/30 (77%),7 (3),1 (0),1 (0),90',M,6.6
15184394,away_team,Maxence Menuet,2020721,https://www.sofascore.com/player/maxence-menuet/2020721,0,0,2 (1),7/13 (54%),5 (3),1 (0),1 (0),59',M,6.7
15184394,away_team,Hamet Coulibaly,829518,https://www.sofascore.com/player/hamet-coulibaly/829518,0,0,,8/12 (67%),8 (3),2 (0),2 (2),77',M,7.2
15184394,away_team,Mathis Bochereau,2418285,https://www.sofascore.com/player/mathis-bochereau/2418285,0,0,1 (0),34/37 (92%),18 (7),2 (0),6 (1),90',F,6.8
15184394,away_team,Mouhamadou Samb,2418315,https://www.sofascore.com/player/mouhamadou-samb/2418315,0,0,,10/11 (91%),12 (3),,2 (0),90',F,6.3
15184394,away_team,Axel Dabin,914539,https://www.sofascore.com/player/axel-dabin/914539,0,0,,22/24 (92%),2 (1),,1 (0),31',F,6.6
15184394,away_team,Kris Folly,2418301,https://www.sofascore.com/player/kris-folly/2418301,0,0,,4/4 (100%),1 (0),1 (0),,13',F,6.4
15184394,away_team,Simon Guerlus,2418312,https://www.sofascore.com/player/simon-guerlus/2418312,0,0,,3/4 (75%),1 (1),,,9',M,6.6
15184394,away_team,Baptiste Moreau,2418283,https://www.sofascore.com/player/baptiste-moreau/2418283,0,0,,5/8 (62%),,,,9',M,6.3
15184394,away_team,Thomas Bacle,1562147,https://www.sofascore.com/player/thomas-bacle/1562147,0,0,,,,,,,G,
15184394,away_team,Joris Lesieur,2418292,https://www.sofascore.com/player/joris-lesieur/2418292,0,0,,,,,,,G,
15184394,away_team,Antoine Nakkachi,2418276,https://www.sofascore.com/player/antoine-nakkachi/2418276,0,0,,,,,,,G,
15184394,away_team,Chérif Segnane,2418275,https://www.sofascore.com/player/cherif-segnane/2418275,0,0,,,,,,,M,
15184394,away_team,Yanis Herman Gbelle,1012279,https://www.sofascore.com/player/yanis-herman-gbelle/1012279,0,0,,,,,,,M,
